ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
167,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli menyerahkan bantuan logistik untuk korban bencana longsor di Cililin, Bandung.",Bakti Sosial Penyerahan Bantuan Logistik Bencana Longsor Cililin,,publish,open,open,,Bakti Sosial Penyerahan Bantuan Logistik Bencana Longsor Cililin,,,,,,,http://localhost/pedulikasih/?p=167,11,post,,11
168,1,28-02-16 5:24,28-02-16 5:24,"Bakti Sosial di Pulau Palu'e, Nusa Tenggara Timur, untuk membantu para korban bencana letusan gunung Rokatenda.","Bakti Sosial di Pulau Palu'e, NTT",,publish,open,open,,"Bakti Sosial di Pulau Palu'e, NTT",,,,,,,http://localhost/pedulikasih/?p=168,12,post,,12
169,1,28-02-16 5:24,28-02-16 5:24,"Gempa Gempa berkekuatan 6,2 SR terjadi di Bener Meriah dan Aceh Tengah pada tanggal 2 Juli 2013.","Bakti Sosial Bencana Gempa di Bener Meriah dan Aceh Tengah, Nanggroe Aceh Darussalam",,publish,open,open,,"Bakti Sosial Bencana Gempa di Bener Meriah dan Aceh Tengah, Nanggroe Aceh Darussalam",,,,,,,http://localhost/pedulikasih/?p=169,13,post,,13
170,1,28-02-16 5:24,28-02-16 5:24,Bakti sosial untuk bencana banjir bandang akibat jebolnya bendungan Way Ela di Maluku dan banjir air bah di Ambon dilaksanakan tanggal 4 - 8 Agustus 2013. ,"Bakti Sosial Banjir Way Ela Maluku Tengah, Banjir Air Bah dan Longsor Di Ambon",,publish,open,open,,"Bakti Sosial Banjir Way Ela Maluku Tengah, Banjir Air Bah dan Longsor Di Ambon",,,,,,,http://localhost/pedulikasih/?p=170,14,post,,14
171,1,28-02-16 5:24,28-02-16 5:24,Kegiatan bakti sosial Kita Peduli kembali dilaksanakan di Pulau Palue dalam rangka membantu pengungsi letusan Gunung Rokatenda.,Bakti Sosial Penyaluran Obat-Obatan Bencana Rokatenda,,publish,open,open,,Bakti Sosial Penyaluran Obat-Obatan Bencana Rokatenda,,,,,,,http://localhost/pedulikasih/?p=171,15,post,,15
172,1,28-02-16 5:24,28-02-16 5:24,Gunung Sinabung meletus pada Selasa (17/9) pukul 12.30 WIB dengan ketinggian 3.000 meter. ,Bakti Sosial Penyaluran Bantuan Logistik Bencana G.Sinabung,,publish,open,open,,Bakti Sosial Penyaluran Bantuan Logistik Bencana G.Sinabung,,,,,,,http://localhost/pedulikasih/?p=172,16,post,,16
173,1,28-02-16 5:24,28-02-16 5:24,Bakti sosial Kita Peduli bencana G. Sinabung dilaksanakan pada tanggal 9-11 November 2013. Kegiatan baksos berupa pembagian logistik dan pengobatan umum dibeberapa posko utama penampungan.,"Bakti Sosial Pengobatan Umum Pengungsi G. Sinabung, Sumatera Utara",,publish,open,open,,"Bakti Sosial Pengobatan Umum Pengungsi G. Sinabung, Sumatera Utara",,,,,,,http://localhost/pedulikasih/?p=173,17,post,,17
174,1,28-02-16 5:24,28-02-16 5:24,"Melihat bencana Sinabung masih berkelanjutan, Kita Peduli Indosiar kembali mengadakan baksos di Kabupaten Karo, Sumatera Utara.","Bakti Sosial Logistik Pengungsi G. Sinabung, Karo, Sumatera Utara",,publish,open,open,,"Bakti Sosial Logistik Pengungsi G. Sinabung, Karo, Sumatera Utara",,,,,,,http://localhost/pedulikasih/?p=174,18,post,,18
175,1,28-02-16 5:24,28-02-16 5:24,Banjir Jakarta telah menyebabkan sebanyak 7.367 rumah (24.269 jiwa) terendam banjir. Pengungsi sebanyak 5.152 jiwa tersebar di 35 titik. Kita Peduli berusaha meringankan warga korban Banjir Jakarta dengan menyalurkan konsumsi dan obat-obatan.,Bakti Sosial Penyaluran Konsumsi Dan Obat-obatan Bencana Banjir Jakarta,,publish,open,open,,Bakti Sosial Penyaluran Konsumsi Dan Obat-obatan Bencana Banjir Jakarta,,,,,,,http://localhost/pedulikasih/?p=175,19,post,,19
176,1,28-02-16 5:24,28-02-16 5:24,Gunung Sinabung yang masih dalam status SIAGA IV sampai saat ini mengakibatkan ribuan pengungsi terus bertahan di pengungsian. Ribuan pengungsi di posko-posko membutuhkan bantuan logistik seperti makanan dan obat-obatan.,Bakti Sosial Penyaluran Logistik Pengungsi Bencana G. Sinabung Tahap IV,,publish,open,open,,Bakti Sosial Penyaluran Logistik Pengungsi Bencana G. Sinabung Tahap IV,,,,,,,http://localhost/pedulikasih/?p=176,20,post,,20
177,1,28-02-16 5:24,28-02-16 5:24,Banjir bandang dan longsor di Sulawesi Utara pada Rabu (15/1) menyebabkan 4000 Jiwa harus mengungsi ke tempat yang aman. Banjir bandang ini terjadi karena hujan ekstrem sehingga empat sungai besar di Kota Manado meluap dan menghanyutkan puluhan rumah dan kendaraan.,Bantuan Dana Untuk Korban Banjir Dan Longsor Sulawesi Utara,,publish,open,open,,Bantuan Dana Untuk Korban Banjir Dan Longsor Sulawesi Utara,,,,,,,http://localhost/pedulikasih/?p=177,21,post,,21
178,1,28-02-16 5:24,28-02-16 5:24,Curah hujan yang tinggi selama sepekan terakhir mengakibatkan sebanyak 30.784 jiwa terpaksa mengungsi. Untuk meringankan beban para korban banjir Kita Peduli Indosiar menyalurkan logistik dibeberapa titik pengungsian di Jakarta.,Penyaluran Logistik Banjir Jakarta Di Taman Ratu Dan Duri Kepa,,publish,open,open,,Penyaluran Logistik Banjir Jakarta Di Taman Ratu Dan Duri Kepa,,,,,,,http://localhost/pedulikasih/?p=178,22,post,,22
179,1,28-02-16 5:24,28-02-16 5:24,"Cuaca ekstrem yang sedang melanda Indonesia sejak awal desember mengakibatkan banjir di beberapa kota di Jawa Tengah, salah satunya Kutoarjo.","Bantuan Dana Untuk Banjir Kutoarjo Purworejo, Jawa Tengah",,publish,open,open,,"Bantuan Dana Untuk Banjir Kutoarjo Purworejo, Jawa Tengah",,,,,,,http://localhost/pedulikasih/?p=179,23,post,,23
180,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli Indosiar kembali menyalurkan bantuan dana sebesar 100 juta rupiah dan bantuan logistik untuk korban banjir & longsor di Sulawesi Utara. Sebelumnya, Kita Peduli telah menyalurkan bantuan Pemirsa sebesar 100 juta rupiah pada tanggal 16 Januari 2014.",Bantuan Dana Dan penyaluran Logistik Korban Banjir & Longsor Sulut Tahap II,,publish,open,open,,Bantuan Dana Dan penyaluran Logistik Korban Banjir & Longsor Sulut Tahap II,,,,,,,http://localhost/pedulikasih/?p=180,24,post,,24
181,1,28-02-16 5:24,28-02-16 5:24,"Bencana alam melanda Indonesia secara berturut-turut, mulai dari meletusnya Gunung Sinabung kemudian disusul dengan banjir bandang & longsor di Manado & wil. Sulawesi Utara dengan kerusakan parah. Dengan dana dari Pemirsa, Kita Peduli Indosiar kembali membantu korban bencana dengan bantuan logistik.",Pengiriman Logistik Bencana G. Sinabung Dan Banjir Manado,,publish,open,open,,Pengiriman Logistik Bencana G. Sinabung Dan Banjir Manado,,,,,,,http://localhost/pedulikasih/?p=181,25,post,,25
182,1,28-02-16 5:24,28-02-16 5:24,Bakti Sosial Pengobatan Umum Banjir Jakarta Wil. Kedoya Dan Kembangan,Pengobatan Umum Banjir Jakarta Wil. Kedoya Dan Kembangan,,publish,open,open,,Pengobatan Umum Banjir Jakarta Wil. Kedoya Dan Kembangan,,,,,,,http://localhost/pedulikasih/?p=182,26,post,,26
183,1,28-02-16 5:24,28-02-16 5:24,Curah hujan yang tinggi masih menjadi penyebab banjir di wilayah Jakarta dan sekitarnya. Kita Peduli Indosiar kembali mengadakan bakti sosial untuk membantu meringankan beban korban banjir di wilayah Jakarta.,Pengobatan Umum Banjir Jakarta Wil. Ciledug,,publish,open,open,,Pengobatan Umum Banjir Jakarta Wil. Ciledug,,,,,,,http://localhost/pedulikasih/?p=183,27,post,,27
184,1,28-02-16 5:24,28-02-16 5:24,"Bantuan logistik untuk korban banjir Jakarta masih terus disalurkan oleh Kita Peduli Indosiar. Kali ini logistik berupa 235 kardus mie instan diberikan untuk Posko Paroki Gregorius Agung Kotabumi, Tangerang",Penyaluran Logistik Banjir Jakarta Di Paroki Gregorius Kotabumi - Tangerang,,publish,open,open,,Penyaluran Logistik Banjir Jakarta Di Paroki Gregorius Kotabumi - Tangerang,,,,,,,http://localhost/pedulikasih/?p=184,28,post,,28
185,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli Indosiar mengirimkan 250 kardus mie instan dan 250 buah selimut untuk membantu korban banjir Jakarta di wilayah Grogol, Jakarta Barat.","Penyaluran Logistik Banjir Jakarta Di Gereja Kristoforus, Grogol",,publish,open,open,,"Penyaluran Logistik Banjir Jakarta Di Gereja Kristoforus, Grogol",,,,,,,http://localhost/pedulikasih/?p=185,29,post,,29
186,1,28-02-16 5:24,28-02-16 5:24,Penyaluran bantuan logistik untuk warga korban banjir Jakarta di wilayah Teluk Gong berlangsung pada tanggal 29 Januari 2014.,"Penyaluran Logistik Banjir Jakarta Di Teluk Gong, Jakarta",,publish,open,open,,"Penyaluran Logistik Banjir Jakarta Di Teluk Gong, Jakarta",,,,,,,http://localhost/pedulikasih/?p=186,30,post,,30
187,1,28-02-16 5:24,28-02-16 5:24,"Hari ini (27/01) Kita Peduli Indosiar menyalurkan bantuan logistik untuk korban banjir Jakarta di dua tempat yaitu, Ciledug Indah dan Taman Pinang.",Penyaluran Logistik Banjir Jakarta Di Ciledug Indah Dan Taman Pinang,,publish,open,open,,Penyaluran Logistik Banjir Jakarta Di Ciledug Indah Dan Taman Pinang,,,,,,,http://localhost/pedulikasih/?p=187,31,post,,31
188,1,28-02-16 5:24,28-02-16 5:24,Penyaluran logistik pemirsa INDOSIAR (175 kardus mie instan & 175 selimut) untuk Posko Banjir Jakarta Wilayah Tubagus Angke melalui Kita Peduli Indosiar.,Penyaluran Logistik Banjir Jakarta Di Jalan Tubagus Angke,,publish,open,open,,Penyaluran Logistik Banjir Jakarta Di Jalan Tubagus Angke,,,,,,,http://localhost/pedulikasih/?p=188,32,post,,32
189,1,28-02-16 5:24,28-02-16 5:24,Sudah sebulan lebih Jakarta didera Banjir. Lamanya banjir membuat puluhan ribu warga mulai terserang penyakit. Kita Peduli Indosiar berusaha meringankan beban warga korban banjir dengan mengadakan bakti sosial pengobatan umum secara gratis.,Bakti Sosial Pengobatan Umum Banjir Jakarta Wil. Kapuk Muara,,publish,open,open,,Bakti Sosial Pengobatan Umum Banjir Jakarta Wil. Kapuk Muara,,,,,,,http://localhost/pedulikasih/?p=189,33,post,,33
190,1,28-02-16 5:24,28-02-16 5:24,Bantuan logistik berupa seragam sekolah sebanyak 239 buah telah disalurkan ke Yayasan Anak Yatim Laskar Langit yang berlokasi di Penjaringan Jakarta Utara.,Penyaluran Logistik Yayasan Anak Yatim Laskar Langit Di Penjaringan Jakarta,,publish,open,open,,Penyaluran Logistik Yayasan Anak Yatim Laskar Langit Di Penjaringan Jakarta,,,,,,,http://localhost/pedulikasih/?p=190,34,post,,34
191,1,28-02-16 5:24,28-02-16 5:24,Pada 11 Februari 2014 Kita Peduli INDOSIAR menyalurkan logistik ke dua lokasi banjir di Bekasi yang belum tersentuh bantuan yaitu Desa Setialaksana dan Desa Lenggahsari Kab. Cabangbungin.,"Penyaluran Logistik Ds Setialaksana Dan Ds Lenggahsari, Cabangbungin, Bekasi",,publish,open,open,,"Penyaluran Logistik Ds Setialaksana Dan Ds Lenggahsari, Cabangbungin, Bekasi",,,,,,,http://localhost/pedulikasih/?p=191,35,post,,35
192,1,28-02-16 5:24,28-02-16 5:24,"Banyak pengungsi terutama di wilayah Jakarta Barat mulai terjangkit penyakit yang diakibatkan karena lingkungan yang kurang bersih, seperti sakit batuk, flu, gatal, demam, dan diare. Untuk itu, Kita Peduli mengadakan pengobatan umum gratis guna membantu meringankan penderitaan warga korban banjir. ","Pengobatan Umum Banjir Jakarta di Grogol, Pesing Dan Tegal Alur",,publish,open,open,,"Pengobatan Umum Banjir Jakarta di Grogol, Pesing Dan Tegal Alur",,,,,,,http://localhost/pedulikasih/?p=192,36,post,,36
193,1,28-02-16 5:24,28-02-16 5:24,Curah hujan yang tinggi selama sepekan terakhir mengakibatkan sebanyak 30.784 jiwa terpaksa mengungsi. Untuk meringankan beban para korban banjir Kita Peduli Indosiar menyalurkan logistik dibeberapa titik pengungsian di Jakarta,Penyaluran Logistik Banjir Jakarta Di Pesing Dan Tegal Alur,,publish,open,open,,Penyaluran Logistik Banjir Jakarta Di Pesing Dan Tegal Alur,,,,,,,http://localhost/pedulikasih/?p=193,37,post,,37
194,1,28-02-16 5:24,28-02-16 5:24,"Pada tanggal 23/1/2014, Kita Peduli Indosiar membantu warga korban banjir dengan bantuan logistik di Kelurahan Duri Kepa sebanyak 100 selimut dan 50 kardus mie instan.",Penyaluran Logistik Banjir Jakarta Di Pesing Dan Tegal Alur,,publish,open,open,,Penyaluran Logistik Banjir Jakarta Di Pesing Dan Tegal Alur,,,,,,,http://localhost/pedulikasih/?p=194,38,post,,38
195,1,28-02-16 5:24,28-02-16 5:24,"Banjir yang melanda sejumlah kawasan di Jakarta, Bekasi dan Tangerang mengakibatkan banyak warga terserang penyakit. Kita Peduli Indosiar telah membantu ribuan warga korban banjir beberapa lokasi di Jakarta dan Tangerang.","Pengobatan Umum Ds Setialaksana Dan Ds Lenggahsari, Cabangbungin, Bekasi",,publish,open,open,,"Pengobatan Umum Ds Setialaksana Dan Ds Lenggahsari, Cabangbungin, Bekasi",,,,,,,http://localhost/pedulikasih/?p=195,39,post,,39
196,1,28-02-16 5:24,28-02-16 5:24,"Gunung Kelud di Kediri-Jawa Timur, meletus pada Kamis (13/2) pukul 22.50 WIB. Mengeluarkan material vulkanik & suara letusan sangat besar, status Kelud berada di SIAGA IV (level tertinggi).","Bantuan Logistik Dan Pengobatan Umum Pengungsi Gunung Kelud, Kediri",,publish,open,open,,"Bantuan Logistik Dan Pengobatan Umum Pengungsi Gunung Kelud, Kediri",,,,,,,http://localhost/pedulikasih/?p=196,40,post,,40
197,1,28-02-16 5:24,28-02-16 5:24,Banjir di Pananukan menyebabkan kemacetan di Pantura sepanjang 9 Km ke arah Jakarta. Penyebab banjir adalah meluapnya Sungai Bugel di Indramayu. ,Penyaluran Logistik Bencana Banjir Pamanukan Di Jawa Barat,,publish,open,open,,Penyaluran Logistik Bencana Banjir Pamanukan Di Jawa Barat,,,,,,,http://localhost/pedulikasih/?p=197,41,post,,41
198,1,28-02-16 5:24,28-02-16 5:24,"Untuk meringankan beban warga Jakarta yang terkena dampak banjir, Kita Peduli INDOSIAR melakukan bakti sosial pengobatan umum di Penjagalan, Jakarta Utara.","Pengobatan Umum Banjir Jakarta Di Teluk Gong, Penjagalan, Jakarta",,publish,open,open,,"Pengobatan Umum Banjir Jakarta Di Teluk Gong, Penjagalan, Jakarta",,,,,,,http://localhost/pedulikasih/?p=198,42,post,,42
199,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli menyalurkan bantuan logistik untuk warga korban banjir di kecamatan Pakis, Karawang pada tanggal 26 Februari 2014.","Penyaluran Logistik Banjir Di Kecamatan Pakis, Karawang",,publish,open,open,,"Penyaluran Logistik Banjir Di Kecamatan Pakis, Karawang",,,,,,,http://localhost/pedulikasih/?p=199,43,post,,43
200,1,28-02-16 5:24,28-02-16 5:24,"Intensitas curah hujan di Jakarta dan sekitarnya sudah mulai berkurang. Namun, dampak banjir besar beberapa saat lalu masih dirasakan oleh warga Desa Karangharja.","Penyaluran Logistik Banjir Untuk Desa Karangharja, Bekasi",,publish,open,open,,"Penyaluran Logistik Banjir Untuk Desa Karangharja, Bekasi",,,,,,,http://localhost/pedulikasih/?p=200,44,post,,44
201,1,28-02-16 5:24,28-02-16 5:24,Kita Peduli kembali menyalurkan bantuan pemirsa untuk warga Karawang yang terkena dampak banjir di Desa Telukjaya.,"Penyaluran Logistik Banjir DesaTelukjaya, Karawang",,publish,open,open,,"Penyaluran Logistik Banjir DesaTelukjaya, Karawang",,,,,,,http://localhost/pedulikasih/?p=201,45,post,,45
202,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli bekerjasama dengan RS Atmajaya menyelenggarakan pelayanan kesehatan untuk warga Kec. Penjaringan, Jakarta.",Pengobatan Umum Massal Kerjasama RS Atmajaya,,publish,open,open,,Pengobatan Umum Massal Kerjasama RS Atmajaya,,,,,,,http://localhost/pedulikasih/?p=202,46,post,,46
203,1,28-02-16 5:24,28-02-16 5:24,Pemerintah  Jawa Timur telah menyatakan  penurunan status awas menjadi siaga Gunung Kelud. Para pengsungsi telah kembali ke rumah masing-masing untuk ,Disaster Capacity Building in Emergency Response,,publish,open,open,,Disaster Capacity Building in Emergency Response,,,,,,,http://localhost/pedulikasih/?p=203,47,post,,47
204,1,28-02-16 5:24,28-02-16 5:24,Kita Peduli INDOSIAR turut mendukung program WVI dengan memberikan sikat gigi gratis sebanyak 20 lusin lebih secara langsung di kantor sekretariat WVI pada tanggal 28 Maret 2014,Penyaluran Sikat Gigi Untuk Wahana Visi Indonesia (World Vision),,publish,open,open,,Penyaluran Sikat Gigi Untuk Wahana Visi Indonesia (World Vision),,,,,,,http://localhost/pedulikasih/?p=204,48,post,,48
205,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli datang menuju di Desa Selandi untuk menyalurkan seng guna membantu perbaikan atap rumah korban bencana Gunung Sinabung, Kabupaten Karo.",Penyaluran Bantuan Seng Untuk Atap Rumah Pengungsi Sinabung,,publish,open,open,,Penyaluran Bantuan Seng Untuk Atap Rumah Pengungsi Sinabung,,,,,,,http://localhost/pedulikasih/?p=205,49,post,,49
206,1,28-02-16 5:24,28-02-16 5:24,"Dengan alokasi dana Pemirsa INDOSIAR sebesar 100 juta, Kita Peduli INDOSIAR bersama Caritas Maumere menyelenggarakan program perbaikan gizi melalui beberapa kegiatan khusus.",Perbaikan Gizi Pengungsi Rokatenda Di Flores,,publish,open,open,,Perbaikan Gizi Pengungsi Rokatenda Di Flores,,,,,,,http://localhost/pedulikasih/?p=206,50,post,,50
207,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli Indosiar kembali menyalurkan bantuannya kepada korban letusan gunung Rokantenda yang mengungsi ke Maumere, Kabupaten Sikka, NTT. Bantuan yang diberikan merupakan makanan tambahan terutama untuk ibu hamil dan anak-anak balita.",Penyaluran Bantuan Lanjutan Untuk Pengungsi Rokatenda,,publish,open,open,,Penyaluran Bantuan Lanjutan Untuk Pengungsi Rokatenda,,,,,,,http://localhost/pedulikasih/?p=207,51,post,,51
208,1,28-02-16 5:24,28-02-16 5:24,"Kita Peduli menyalurkan bantuan logistik yang berasal dari dana kemanusiaan Pemirsa INDOSIAR untuk pengungsi Sinabung. Bantuan berupa 14,5 Ton beras, 3 Ton minyak goreng dan 6.000 butir telur disebar dibeberapa lokasi pengungsian.",Kita Peduli Salurkan Bantuan Logistik Ke Pengungsi Sinabung,,publish,open,open,,Kita Peduli Salurkan Bantuan Logistik Ke Pengungsi Sinabung,,,,,,,http://localhost/pedulikasih/?p=208,52,post,,52
209,1,28-02-16 5:24,28-02-16 5:24,"Indosiar melalui Kita Peduli menyalurkan bantuan Pemirsa berupa 1.000 selimut, produk Cap Lang (2.000 minyak kayu putih dan 1.000 minyak telon) dan pembangunan mck (mandi, cuci, kakus) di beberapa titik pengungsian di Banjarnegara. ",Bantuan Pemirsa Indosiar Untuk Longsor Banjarnegara,,publish,open,open,,Bantuan Pemirsa Indosiar Untuk Longsor Banjarnegara,,,,,,,http://localhost/pedulikasih/?p=209,53,post,,53
210,1,28-02-16 5:24,28-02-16 5:24,"Sebagai wadah yang dipercaya Pemirsa untuk menyalurkan bantuan kepada korban longsor Banjarnegara, Kita Peduli Indosiar bersama Pundi Amal SCTV mendukung Pemerintah dengan ikut menyediakan kebutuhan bahan bangunan dan mendirikan 7 unit MCK (Mandi, Cuci, Kakus) untuk rumah huntap Desa Kalitlaga.",Pemirsa Indosiar Salurkan Bantuan Longsor Banjarnegara Tahap Dua,,publish,open,open,,Pemirsa Indosiar Salurkan Bantuan Longsor Banjarnegara Tahap Dua,,,,,,,http://localhost/pedulikasih/?p=210,54,post,,54
211,1,28-02-16 5:24,28-02-16 5:24,"Tim Kita Peduli menuju Kebon Kosong untuk membagikan 27 pasang sepatu gratis kepada para warga. Bapak Yahya selaku Ketua RT. 03/03, mewakili warga menerima dengan hangat bantuan dari Kita Peduli. ",Kita Peduli Sumbang Sepatu Untuk Korban Kebakaran Kemayoran,,publish,open,open,,Kita Peduli Sumbang Sepatu Untuk Korban Kebakaran Kemayoran,,,,,,,http://localhost/pedulikasih/?p=211,55,post,,55
212,1,28-02-16 5:24,28-02-16 5:24,Tim Kita Peduli dengan sigap merespon kebutuhan warga terdampak banjir dengan menyalurkan bantuan logistik Pemirsa Indosiar sejak tanggal 10-16 Februari 2015 di beberapa kawasan banjir. ,Kita Peduli Salurkan Bantuan Bencana Banjir Jakarta,,publish,open,open,,Kita Peduli Salurkan Bantuan Bencana Banjir Jakarta,,,,,,,http://localhost/pedulikasih/?p=212,56,post,,56
213,1,28-02-16 5:24,28-02-16 5:24,"Bakti sosial pengobatan umum bekerja sama dengan OBI (Obor Berkat Indonesia) dilaksanakan di Kantor Sekretariat RW. 05, Tegal Alur, Jakarta Barat. Total pasien yang mengikuti kegiatan ini sebanyak 415 orang.","Pasca Banjir Jakarta, Kita Peduli Indosiar Gelar Pengobatan Gratis",,publish,open,open,,"Pasca Banjir Jakarta, Kita Peduli Indosiar Gelar Pengobatan Gratis",,,,,,,http://localhost/pedulikasih/?p=213,57,post,,57
214,1,28-02-16 5:24,28-02-16 5:24,"Bantuan pasca bencana berupa sembako kali ini ditujukan kepada warga Dusun Teluk Buyung, Kecamatan Pakisjaya, Karawang. Penyerahan sembako (beras, mie instan, minyak goreng dan air mineral) diterima oleh perwakilan warga, Bapak Syukron, yang mengucap rasa syukur atas bantuan pasca banjir ini. ",Warga Dusun Teluk Buyung Terima Bantuan Sembako Kita Peduli Indosiar,,publish,open,open,,Warga Dusun Teluk Buyung Terima Bantuan Sembako Kita Peduli Indosiar,,,,,,,http://localhost/pedulikasih/?p=214,58,post,,58
215,1,28-02-16 5:24,28-02-16 5:24,Peduli Kasih dengan dana sumbangan Pemirsa Indosiar memberikan santunan berupa 3 unit laptop pada Yayasan Prima Unggul yang mengalami musibah kebakaran beberapa bulan lalu.,Indosiar Beri Santunan Laptop Yayasan Prima Unggul,,publish,open,open,,Indosiar Beri Santunan Laptop Yayasan Prima Unggul,,,,,,,http://localhost/pedulikasih/?p=215,59,post,,59
216,1,28-02-16 5:24,28-02-16 5:24,"Bantuan logistik berupa tikar, kasur dan selimut yang masing-masing berjumlah 1.000 buah disebar oleh tim Kita Peduli ke beberapa posko yang menjadi tempat tinggal warga sehari-hari sejak terjadinya letusan Gunung Sinabung tahun 2013. ",Kita Peduli Tak Berhenti Berikan Bantuan Pengungsi Sinabung,,publish,open,open,,Kita Peduli Tak Berhenti Berikan Bantuan Pengungsi Sinabung,,,,,,,http://localhost/pedulikasih/?p=216,60,post,,60
217,1,28-02-16 5:24,28-02-16 5:24,"Program CSR Indosiar, Kita Peduli, melangsungkan pelayanan kesehatan bagi warga korban longsor Banjarnegara yang terjadi tahun lalu. Menggunakan dana sumbangan Pemirsa Indosiar, pelayanan kesehatan pasca bencana ini turut didukung oleh TNI AL dan Yayasan OBI. ",Indosiar Langsungkan Pelayanan Kesehatan Korban Longsor Banjarnegara,,publish,open,open,,Indosiar Langsungkan Pelayanan Kesehatan Korban Longsor Banjarnegara,,,,,,,http://localhost/pedulikasih/?p=217,61,post,,61
218,1,28-02-16 5:24,28-02-16 5:24,"Kini pada masa recovery, Kita Peduli Indosiar kembali menunjukkan kepeduliannya pada warga Kediri berupa penghijauan dan pembangunan gedung sekolah yang rusak akibat erupsi Gunung Kelud.",Kita Peduli Indosiar Salurkan Bantuan Recovery Bencana Gunung Kelud,,publish,open,open,,Kita Peduli Indosiar Salurkan Bantuan Recovery Bencana Gunung Kelud,,,,,,,http://localhost/pedulikasih/?p=218,62,post,,62
219,1,28-02-16 5:24,28-02-16 5:24,"Sebagai perusahaan yang berkomitmen membantu terciptanya kualitas kesehatan masyarakat yang lebih baik, melalui Program Kita Peduli, Indosiar membangun fasilitas sanitasi berupa 14 unit MCK bagi pengungsi Sinabung di Posko Mardingding, Karo. ","Sanitasi Kurang Layak, Kita Peduli Bangun 14 MCK Di Desa Mardingding, Karo",,publish,open,open,,"Sanitasi Kurang Layak, Kita Peduli Bangun 14 MCK Di Desa Mardingding, Karo",,,,,,,http://localhost/pedulikasih/?p=219,63,post,,63
