ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
15,1,21-02-16 4:13,21-02-16 4:13, ,,,publish,closed,closed,,15,,,21-02-16 16:05,21-02-16 16:05,,0,http://localhost/pedulikasih/2016/02/21/15/,2,nav_menu_item,,0
16,1,21-02-16 4:13,21-02-16 4:13,,Kita Peduli,,inherit,closed,closed,,14-revision-v1,,,21-02-16 4:13,21-02-16 4:13,,14,http://localhost/pedulikasih/2016/02/21/14-revision-v1/,0,revision,,0
17,1,21-02-16 4:13,21-02-16 4:13,,Peduli Kasih,,publish,closed,closed,,peduli-kasih,,,21-02-16 16:30,21-02-16 16:30,,0,http://localhost/pedulikasih/?page_id=17,0,page,,0
18,1,21-02-16 4:13,21-02-16 4:13, ,,,publish,closed,closed,,18,,,21-02-16 16:05,21-02-16 16:05,,0,http://localhost/pedulikasih/2016/02/21/18/,5,nav_menu_item,,0
19,1,21-02-16 4:13,21-02-16 4:13,,Peduli Kasih,,inherit,closed,closed,,17-revision-v1,,,21-02-16 4:13,21-02-16 4:13,,17,http://localhost/pedulikasih/2016/02/21/17-revision-v1/,0,revision,,0
20,1,21-02-16 4:13,21-02-16 4:13,,Peduli Komunitas,,publish,closed,closed,,peduli-komunitas,,,21-02-16 4:13,21-02-16 4:13,,0,http://localhost/pedulikasih/?page_id=20,0,page,,0
22,1,21-02-16 4:13,21-02-16 4:13,,Peduli Komunitas,,inherit,closed,closed,,20-revision-v1,,,21-02-16 4:13,21-02-16 4:13,,20,http://localhost/pedulikasih/2016/02/21/20-revision-v1/,0,revision,,0
23,1,21-02-16 4:29,21-02-16 4:29,,Donatur,,trash,closed,closed,,donatur-2,,,21-02-16 7:54,21-02-16 7:54,,0,http://localhost/pedulikasih/?page_id=23,0,page,,0
24,1,21-02-16 4:30,0000-00-00 00:00:00,,Auto Draft,,auto-draft,closed,closed,,,,,21-02-16 4:30,0000-00-00 00:00:00,,0,http://localhost/pedulikasih/?page_id=24,0,page,,0
25,1,21-02-16 4:31,21-02-16 4:31,,Donatur,,trash,closed,closed,,donatur,,,21-02-16 14:49,21-02-16 14:49,,0,http://localhost/pedulikasih/?page_id=25,0,page,,0
27,1,21-02-16 4:31,21-02-16 4:31,,Donatur,,inherit,closed,closed,,25-revision-v1,,,21-02-16 4:31,21-02-16 4:31,,25,http://localhost/pedulikasih/2016/02/21/25-revision-v1/,0,revision,,0
28,1,10-12-15 7:53,10-12-15 7:53,"<h3>LOKASI</h3>
<div>Posko Mardingding
Kel. Namanteran, Tanah Karo
Medan</div>
<div></div>
&nbsp;
<div></div>
<h3>PELAKSANAAN KEGIATAN</h3>
Dua tahun lamanya warga terdampak bencana letusan Gunung Sinabung bertahan di posko-posko pengungsian. Kebutuhan sanitasi yang layak menjadi hal penting untuk ditindaklanjuti karena kebersihan merupakan faktor utama dalam kesehatan.

Sebagai perusahaan yang berkomitmen membantu terciptanya kualitas kesehatan masyarakat yang lebih baik, melalui Program Kita Peduli, Indosiar membangun fasilitas sanitasi bagi pengungsi Sinabung. Fasilitas berupa 14 unit MCK (Mandi, Cuci, Kakus) dibangun oleh tim Kita Peduli sejak tanggal 10 Desember 2015 di dua lokasi, Posko Mardinding dan Posko Gudang Jeruk (Desa Surbakti). Dengan estimasi 2 minggu, diharapkan pembangunan MCK tersebut dapat selesai dan dapat segera digunakan.

Penyerahan bantuan MCK secara simbolis berupa peletakan batu pertama ini dihadiri oleh Direktur Utama Indosiar, Imam Sudjarwo, Kepala Departemen CSR Indosiar, Dewi Y. Miranti dan turut disaksikan oleh Ketua Posko, Sekdes Mardingding. Selain itu, acara penyerahan juga disertai dengan penyaluran simbolis kasur Palembang dan Selimut yang telah dibagikan pada September 2015 lalu.

Indosiar berharap dengan pembangunan fasilitas MCK di posko pengungsian Sinabung dapat memenuhi kebutuhan warga akan akses sanitasi yang layak. Tentunya harus ada kesadaran warga setempat untuk membersihkan dan merawat fasilitas tersebut secara teratur.
","Sanitasi Kurang Layak, Kita Peduli Bangun 14 MCK Di Desa Mardingding, Karo",,publish,open,open,,sanitasi-kurang-layak-kita-peduli-bangun-14-mck-di-desa-mardingding-karo,,,21-02-16 14:15,21-02-16 14:15,,0,http://localhost/pedulikasih/?p=28,0,post,,0
29,1,21-02-16 7:53,21-02-16 7:53,"Kita Peduli dibentuk dengan tujuan memberikan respon cepat bagi warga saat terkena bencana alam serta meringankan penderitaan masyarakat pada masa pasca bencana.

Kegiatan yang awalnya dibentuk saat Bengkulu dihantam gempa bumi pada tahun 2001 ini, bertugas merespon cepat setiap bencana alam yang terjadi di Indonesia dengan menyalurkan bantuan dari Perseroan dan kedermawanan sosial masyarakat (filantropi) berupa makanan, obat-obatan, selimut, alat penerangan, dan lain sebagainya. Selain bantuan-bantuan tersebut, Kita Peduli juga melakukan pembangunan dan perbaikan infrastruktur di daerah yang tertimpa bencana.

Dalam melaksanakan aktivitasnya, Kita Peduli bekerjasama dengan berbagai nstitusi pendidikan, lembaga swadaya masyarakat, Satuan Koordinasi Pelaksana (Satkorlak) Pemerintah Daerah Setempat dan berbagai tim sukarelawan.",Sejarah,,inherit,closed,closed,,28-revision-v1,,,21-02-16 7:53,21-02-16 7:53,,28,http://localhost/pedulikasih/2016/02/21/28-revision-v1/,0,revision,,0
30,1,21-02-16 7:54,21-02-16 7:54,"Kita Peduli dibentuk dengan tujuan memberikan respon cepat bagi warga saat terkena bencana alam serta meringankan penderitaan masyarakat pada masa pasca bencana.

Kegiatan yang awalnya dibentuk saat Bengkulu dihantam gempa bumi pada tahun 2001 ini, bertugas merespon cepat setiap bencana alam yang terjadi di Indonesia dengan menyalurkan bantuan dari Perseroan dan kedermawanan sosial masyarakat (filantropi) berupa makanan, obat-obatan, selimut, alat penerangan, dan lain sebagainya. Selain bantuan-bantuan tersebut, Kita Peduli juga melakukan pembangunan dan perbaikan infrastruktur di daerah yang tertimpa bencana.

Dalam melaksanakan aktivitasnya, Kita Peduli bekerjasama dengan berbagai nstitusi pendidikan, lembaga swadaya masyarakat, Satuan Koordinasi Pelaksana (Satkorlak) Pemerintah Daerah Setempat dan berbagai tim sukarelawan.",kita-peduli-sejarah,,inherit,closed,closed,,28-revision-v1,,,21-02-16 7:54,21-02-16 7:54,,28,http://localhost/pedulikasih/2016/02/21/28-revision-v1/,0,revision,,0
31,1,21-02-16 7:54,21-02-16 7:54,,Donatur,,inherit,closed,closed,,23-revision-v1,,,21-02-16 7:54,21-02-16 7:54,,23,http://localhost/pedulikasih/2016/02/21/23-revision-v1/,0,revision,,0
32,1,21-02-16 7:55,21-02-16 7:55,,Sejarah,,trash,closed,closed,,sejarah,,,21-02-16 15:02,21-02-16 15:02,,0,http://localhost/pedulikasih/?page_id=32,0,page,,0
33,1,21-02-16 7:57,21-02-16 7:57,"Kita Peduli dibentuk dengan tujuan memberikan respon cepat bagi warga saat terkena bencana alam serta meringankan penderitaan masyarakat pada masa pasca bencana.

Kegiatan yang awalnya dibentuk saat Bengkulu dihantam gempa bumi pada tahun 2001 ini, bertugas merespon cepat setiap bencana alam yang terjadi di Indonesia dengan menyalurkan bantuan dari Perseroan dan kedermawanan sosial masyarakat (filantropi) berupa makanan, obat-obatan, selimut, alat penerangan, dan lain sebagainya. Selain bantuan-bantuan tersebut, Kita Peduli juga melakukan pembangunan dan perbaikan infrastruktur di daerah yang tertimpa bencana.

Dalam melaksanakan aktivitasnya, Kita Peduli bekerjasama dengan berbagai institusi pendidikan, lembaga swadaya masyarakat, Satuan Koordinasi Pelaksana (Satkorlak) Pemerintah Daerah Setempat dan berbagai tim sukarelawan.",Sejarah,,trash,closed,closed,,sejarah-2,,,21-02-16 16:01,21-02-16 16:01,,17,http://localhost/pedulikasih/?page_id=33,0,page,,0
34,1,21-02-16 7:57,21-02-16 7:57,,Sejarah,,inherit,closed,closed,,33-revision-v1,,,21-02-16 7:57,21-02-16 7:57,,33,http://localhost/pedulikasih/2016/02/21/33-revision-v1/,0,revision,,0
35,1,21-02-16 8:24,21-02-16 8:24,,kitapeduli_logo,,inherit,open,closed,,kitapeduli_logo,,,21-02-16 8:24,21-02-16 8:24,,0,http://localhost/pedulikasih/backend/wp-content/uploads/2016/02/kitapeduli_logo.png,0,attachment,image/png,0
36,1,21-02-16 8:25,21-02-16 8:25,,pedulikasih_logo,,inherit,open,closed,,pedulikasih_logo,,,21-02-16 8:25,21-02-16 8:25,,0,http://localhost/pedulikasih/backend/wp-content/uploads/2016/02/pedulikasih_logo.png,0,attachment,image/png,0
37,1,21-02-16 8:25,21-02-16 8:25,,pedulikomunitas_logo,,inherit,open,closed,,pedulikomunitas_logo,,,21-02-16 8:25,21-02-16 8:25,,0,http://localhost/pedulikasih/backend/wp-content/uploads/2016/02/pedulikomunitas_logo.png,0,attachment,image/png,0
38,1,21-02-16 9:20,21-02-16 9:20,"Kita Peduli dibentuk dengan tujuan memberikan respon cepat bagi warga saat terkena bencana alam serta meringankan penderitaan masyarakat pada masa pasca bencana.

Kegiatan yang awalnya dibentuk saat Bengkulu dihantam gempa bumi pada tahun 2001 ini, bertugas merespon cepat setiap bencana alam yang terjadi di Indonesia dengan menyalurkan bantuan dari Perseroan dan kedermawanan sosial masyarakat (filantropi) berupa makanan, obat-obatan, selimut, alat penerangan, dan lain sebagainya. Selain bantuan-bantuan tersebut, Kita Peduli juga melakukan pembangunan dan perbaikan infrastruktur di daerah yang tertimpa bencana.

Dalam melaksanakan aktivitasnya, Kita Peduli bekerjasama dengan berbagai institusi pendidikan, lembaga swadaya masyarakat, Satuan Koordinasi Pelaksana (Satkorlak) Pemerintah Daerah Setempat dan berbagai tim sukarelawan.",Sejarah,,inherit,closed,closed,,33-revision-v1,,,21-02-16 9:20,21-02-16 9:20,,33,http://localhost/pedulikasih/2016/02/21/33-revision-v1/,0,revision,,0
39,1,21-02-16 10:07,21-02-16 10:07,,Kegiatan,,publish,closed,closed,,kegiatan,,,27-02-16 8:59,27-02-16 8:59,,14,http://localhost/pedulikasih/?page_id=39,0,page,,0
41,1,21-02-16 10:07,21-02-16 10:07,KegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatanKegiatan,Kegiatan,,inherit,closed,closed,,39-revision-v1,,,21-02-16 10:07,21-02-16 10:07,,39,http://localhost/pedulikasih/2016/02/21/39-revision-v1/,0,revision,,0
43,1,21-02-16 10:53,21-02-16 10:53,,Kegiatan,,inherit,closed,closed,,39-revision-v1,,,21-02-16 10:53,21-02-16 10:53,,39,http://localhost/pedulikasih/2016/02/21/39-revision-v1/,0,revision,,0
44,1,21-02-16 10:56,21-02-16 10:56,,Laporan Audit,,publish,closed,closed,,laporan,,,27-02-16 9:00,27-02-16 9:00,,14,http://localhost/pedulikasih/?page_id=44,0,page,,0
46,1,21-02-16 10:56,21-02-16 10:56,,Laporan Audit,,inherit,closed,closed,,44-revision-v1,,,21-02-16 10:56,21-02-16 10:56,,44,http://localhost/pedulikasih/2016/02/21/44-revision-v1/,0,revision,,0
47,1,21-02-16 10:56,21-02-16 10:56,,Laporan Tahunan,,publish,closed,closed,,laporan-tahunan,,,27-02-16 9:01,27-02-16 9:01,,14,http://localhost/pedulikasih/?page_id=47,0,page,,0
48,1,21-02-16 10:56,21-02-16 10:56,,Laporan Tahunan,,inherit,closed,closed,,47-revision-v1,,,21-02-16 10:56,21-02-16 10:56,,47,http://localhost/pedulikasih/2016/02/21/47-revision-v1/,0,revision,,0
49,1,21-02-16 10:57,21-02-16 10:57,"<p class=""lead __bold"">PT Indosiar Visual Mandiri (Indosiar Peduli)</p>
<span class=""__bold"">Alamat</span>
Jl. Damai No. 11, Daan Mogot, Jakarta 11510
Telp. (021) 565-5711 atau (021) 566-6878
Fax. (021) 5697-6827
<!-- Web. www.indosiar.com/kitapeduli -->

<span class=""__bold"">""Kepedulian Kita, Harapan Mereka""</span>

<span class=""__bold"">Rekening Bank</span>
BCA 001 304 0009 a/n Indosiar.PT (Kita Peduli)
<i>*Kode Bank BCA 014</i>

<span style=""color: #ff0000;"">HATI-HATI TERHADAP PENIPUAN YANG MENGATASNAMAKAN KITA PEDULI, KAMI TIDAK PERNAH MENGGUNAKAN SMS/REKENING ATAS NAMA PERORANGAN DALAM MENGGALANG DANA PEMIRSA</span>

<span class=""__bold"">Follow us on</span>
Facebook : Indosiar Peduli
Twitter : @Indosiar_Peduli
Youtube : Indosiar Peduli",Kontak,,publish,closed,closed,,kontak,,,21-02-16 16:33,21-02-16 16:33,,14,http://localhost/pedulikasih/?page_id=49,0,page,,0
50,1,21-02-16 10:57,21-02-16 10:57,,Kontak,,inherit,closed,closed,,49-revision-v1,,,21-02-16 10:57,21-02-16 10:57,,49,http://localhost/pedulikasih/2016/02/21/49-revision-v1/,0,revision,,0
51,1,21-02-16 11:01,21-02-16 11:01,"Welcome to WordPress. This is your first post. Edit or delete it, then start writing!",Hello world!,,inherit,closed,closed,,1-revision-v1,,,21-02-16 11:01,21-02-16 11:01,,1,http://localhost/pedulikasih/2016/02/21/1-revision-v1/,0,revision,,0
52,1,21-02-16 11:01,0000-00-00 00:00:00,,Auto Draft,,auto-draft,open,open,,,,,21-02-16 11:01,0000-00-00 00:00:00,,0,http://localhost/pedulikasih/?p=52,0,post,,0
53,1,21-02-16 11:02,21-02-16 11:02,"Dibentuk pada September 2000, Peduli Kasih adalah kelompok kerja yang memiliki tujuan khusus mengetuk hati pemirsa untuk ikut membantu masyarakat kurang mampu yang membutuhkan uluran tangan dalam biaya operasi dan pengobatan berbagai penyakit.

Dengan dana yang berasal dari Perseroan dan kedermawanan sosial masyarakat (filantropi) yang digalang oleh Perseroan sebagai wujud kepedulian sosial serta bagian dari fungsi dan peran sosial media massa, Peduli Kasih membiayai antara lain: operasi jantung, hernia, kolostomi, hipospadia, atresia ani, gondok, katarak, dan bibir sumbing.

Seluruh kegiatan Peduli Kasih dapat berjalan lancar berkat terjalinnya kerjasama yang baik dengan banyak rumah sakit, dokter dan sejumlah lembaga pemerintah maupun non-pemerintah di seluruh Indonesia. Biaya kegiatan operasional Peduli Kasih tidak diambil dari dana yang terhimpun, namun ditanggung sepenuhnya oleh Perseroan.",Sejarah,,publish,closed,closed,,sejarah,,,21-02-16 15:58,21-02-16 15:58,,17,http://localhost/pedulikasih/?page_id=53,0,page,,0
54,1,21-02-16 11:02,21-02-16 11:02,,Sejarah,,inherit,closed,closed,,53-revision-v1,,,21-02-16 11:02,21-02-16 11:02,,53,http://localhost/pedulikasih/2016/02/21/53-revision-v1/,0,revision,,0
55,1,21-02-16 11:04,21-02-16 11:04,"Dibentuk pada September 2000, Peduli Kasih adalah kelompok kerja yang memiliki tujuan khusus mengetuk hati pemirsa untuk ikut membantu masyarakat kurang mampu yang membutuhkan uluran tangan dalam biaya operasi dan pengobatan berbagai penyakit.

Dengan dana yang berasal dari Perseroan dan kedermawanan sosial masyarakat (filantropi) yang digalang oleh Perseroan sebagai wujud kepedulian sosial serta bagian dari fungsi dan peran sosial media massa,<strong>Peduli Kasih membiayai antara lain: operasi jantung, hernia, kolostomi, hipospadia, atresia ani, gondok, katarak, dan bibir sumbing.</strong>

Seluruh kegiatan Peduli Kasih dapat berjalan lancar berkat terjalinnya kerjasama yang baik dengan banyak rumah sakit, dokter dan sejumlah lembaga pemerintah maupun non-pemerintah di seluruh Indonesia. Biaya kegiatan operasional Peduli Kasih tidak diambil dari dana yang terhimpun, namun ditanggung sepenuhnya oleh Perseroan.",Sejarah,,inherit,closed,closed,,53-revision-v1,,,21-02-16 11:04,21-02-16 11:04,,53,http://localhost/pedulikasih/2016/02/21/53-revision-v1/,0,revision,,0
56,1,21-02-16 11:06,0000-00-00 00:00:00,,Auto Draft,,auto-draft,open,open,,,,,21-02-16 11:06,0000-00-00 00:00:00,,0,http://localhost/pedulikasih/?p=56,0,post,,0
57,1,21-02-16 11:07,21-02-16 11:07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus dictum faucibus libero eget venenatis. Quisque consectetur accumsan fermentum. Etiam nec imperdiet nulla. Cras non placerat augue. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Curabitur quis euismod dui. Donec ac tortor arcu. Donec tempor orci eget egestas imperdiet.",Lorem ipsum dolor sit amet,,inherit,closed,closed,,28-revision-v1,,,21-02-16 11:07,21-02-16 11:07,,28,http://localhost/pedulikasih/2016/02/21/28-revision-v1/,0,revision,,0
58,1,21-02-16 11:09,21-02-16 11:09,"<h3 class=""csr_subtitle"">lokasi</h3>
<div>Posko Mardingding
Kel. Namanteran, Tanah Karo
Medan</div>
<div></div>
<div></div>
&nbsp;","Sanitasi Kurang Layak, Kita Peduli Bangun 14 MCK Di Desa Mardingding, Karo",,inherit,closed,closed,,28-revision-v1,,,21-02-16 11:09,21-02-16 11:09,,28,http://localhost/pedulikasih/2016/02/21/28-revision-v1/,0,revision,,0
59,1,21-02-16 11:10,21-02-16 11:10,"<h3 class=""csr_subtitle"">lokasi</h3>
<div>Posko Mardingding
Kel. Namanteran, Tanah Karo
Medan</div>
<div></div>
<h3> PELAKSANAAN KEGIATAN</h3>
Dua tahun lamanya warga terdampak bencana letusan Gunung Sinabung bertahan di posko-posko pengungsian. Kebutuhan sanitasi yang layak menjadi hal penting untuk ditindaklanjuti karena kebersihan merupakan faktor utama dalam kesehatan.

Sebagai perusahaan yang berkomitmen membantu terciptanya kualitas kesehatan masyarakat yang lebih baik, melalui Program Kita Peduli, Indosiar membangun fasilitas sanitasi bagi pengungsi Sinabung. Fasilitas berupa 14 unit MCK (Mandi, Cuci, Kakus) dibangun oleh tim Kita Peduli sejak tanggal 10 Desember 2015 di dua lokasi, Posko Mardinding dan Posko Gudang Jeruk (Desa Surbakti). Dengan estimasi 2 minggu, diharapkan pembangunan MCK tersebut dapat selesai dan dapat segera digunakan.

Penyerahan bantuan MCK secara simbolis berupa peletakan batu pertama ini dihadiri oleh Direktur Utama Indosiar, Imam Sudjarwo, Kepala Departemen CSR Indosiar, Dewi Y. Miranti dan turut disaksikan oleh Ketua Posko, Sekdes Mardingding. Selain itu, acara penyerahan juga disertai dengan penyaluran simbolis kasur Palembang dan Selimut yang telah dibagikan pada September 2015 lalu.

Indosiar berharap dengan pembangunan fasilitas MCK di posko pengungsian Sinabung dapat memenuhi kebutuhan warga akan akses sanitasi yang layak. Tentunya harus ada kesadaran warga setempat untuk membersihkan dan merawat fasilitas tersebut secara teratur.","Sanitasi Kurang Layak, Kita Peduli Bangun 14 MCK Di Desa Mardingding, Karo",,inherit,closed,closed,,28-revision-v1,,,21-02-16 11:10,21-02-16 11:10,,28,http://localhost/pedulikasih/2016/02/21/28-revision-v1/,0,revision,,0
60,1,21-02-16 11:27,21-02-16 11:27,,kurangnya-sanitasi-yang-layak-kita-peduli-bangun-14-mck-di-desa-mardingding-karo-1450667797,,inherit,open,closed,,kurangnya-sanitasi-yang-layak-kita-peduli-bangun-14-mck-di-desa-mardingding-karo-1450667797,,,21-02-16 11:27,21-02-16 11:27,,28,http://localhost/pedulikasih/backend/wp-content/uploads/2016/02/kurangnya-sanitasi-yang-layak-kita-peduli-bangun-14-mck-di-desa-mardingding-karo-1450667797.jpg,0,attachment,image/jpeg,0
61,1,21-02-16 12:08,21-02-16 12:08,"<h3 class=""csr_subtitle"">lokasi</h3>
<div>Posko Mardingding
Kel. Namanteran, Tanah Karo
Medan</div>
<div></div>
<div></div>
<h3> PELAKSANAAN KEGIATAN</h3>
Dua tahun lamanya warga terdampak bencana letusan Gunung Sinabung bertahan di posko-posko pengungsian. Kebutuhan sanitasi yang layak menjadi hal penting untuk ditindaklanjuti karena kebersihan merupakan faktor utama dalam kesehatan.

Sebagai perusahaan yang berkomitmen membantu terciptanya kualitas kesehatan masyarakat yang lebih baik, melalui Program Kita Peduli, Indosiar membangun fasilitas sanitasi bagi pengungsi Sinabung. Fasilitas berupa 14 unit MCK (Mandi, Cuci, Kakus) dibangun oleh tim Kita Peduli sejak tanggal 10 Desember 2015 di dua lokasi, Posko Mardinding dan Posko Gudang Jeruk (Desa Surbakti). Dengan estimasi 2 minggu, diharapkan pembangunan MCK tersebut dapat selesai dan dapat segera digunakan.

Penyerahan bantuan MCK secara simbolis berupa peletakan batu pertama ini dihadiri oleh Direktur Utama Indosiar, Imam Sudjarwo, Kepala Departemen CSR Indosiar, Dewi Y. Miranti dan turut disaksikan oleh Ketua Posko, Sekdes Mardingding. Selain itu, acara penyerahan juga disertai dengan penyaluran simbolis kasur Palembang dan Selimut yang telah dibagikan pada September 2015 lalu.

Indosiar berharap dengan pembangunan fasilitas MCK di posko pengungsian Sinabung dapat memenuhi kebutuhan warga akan akses sanitasi yang layak. Tentunya harus ada kesadaran warga setempat untuk membersihkan dan merawat fasilitas tersebut secara teratur.","Sanitasi Kurang Layak, Kita Peduli Bangun 14 MCK Di Desa Mardingding, Karo",,inherit,closed,closed,,28-revision-v1,,,21-02-16 12:08,21-02-16 12:08,,28,http://localhost/pedulikasih/28-revision-v1/,0,revision,,0
